PRIMARY_SAMPLE_UNIT,YEAR,MONTH,DAY,STATION_NR,LAT_DEGREES,LON_DEGREES,DEPTH,UNDERWATER_VISIBILITY,MAPGRID_NR,HABITAT_CD,ZONE_NR,SUBREGION_NR,MPA_NR,SPECIES_NR,SPECIES_CD,LEN,NUM,TIME_SEEN,PROT,STRAT,REGION
141U,2005,8,9,1,24.4687667,-81.8221666,9.2,6.1,4999782,ISOL_LR,4,8,0,703,JEN SPE.,0,0,1,0,FMLR,FLA KEYS
142U,2005,8,10,2,24.5370333,-81.6144999,4.9,3.1,5393570,ISOL_MR,2,8,0,392,SCO CARI,0,0,1,0,MCPR,FLA KEYS
143U,2005,8,12,3,24.5042167,-81.5819666,25.6,12.2,5457301,SPGR_LR,4,8,0,109,KYP SECT,0,0,1,0,FDLR,FLA KEYS
144U,2005,8,10,1,24.54135,-81.5945666,4.6,3.1,5431072,ISOL_MR,2,8,0,111,CLE PARR,0,0,1,0,MCPR,FLA KEYS
148U,2005,8,12,1,24.5560667,-81.5831666,6.1,4.6,5453580,ISOL_MR,2,8,0,226,CAL BAJO,0,0,1,0,MCPR,FLA KEYS
149U,2005,8,12,2,24.5643834,-81.4713166,7.6,4.6,5667334,ISOL_MR,2,8,0,132,LUT SYNA,13.5,4.5,1,0,MCPR,FLA KEYS
153U,2005,8,15,2,25.2214833,-80.2093666,9.2,10.7,8056449,CONT_LR,4,11,1,159,CHR ENCH,0,0,1,1,FMLR,FLA KEYS
154U,2005,8,15,2,25.23985,-80.2561832,2.7,3.1,7966459,ISOL_MR,2,11,0,159,CHR ENCH,0,0,1,0,MCPR,FLA KEYS
155U,2005,8,16,2,25.3039667,-80.1664999,9.8,12.2,8135245,CONT_LR,4,12,0,123,LAC MAXI,40,1,2,0,FMLR,FLA KEYS
156U,2005,8,16,2,25.3090334,-80.1591499,12.2,12.2,8150248,CONT_LR,4,12,0,69,FIS TABA,0,0,1,0,FMLR,FLA KEYS
157U,2005,8,16,2,25.34505,-80.1632832,4.6,9.1,8139018,CONT_LR,4,12,0,160,CHR INSO,0,0,1,0,FSLR,FLA KEYS
158U,2005,8,17,2,25.3205667,-80.1548499,11.3,12.2,8157754,SPGR_LR,4,12,0,704,COR SPE.,0,0,1,0,FMLR,FLA KEYS
159U,2005,8,17,1,25.3321167,-80.1814832,4.3,9.1,8105260,CONT_LR,4,12,0,61,PAR NIGR,0,0,1,0,FSLR,FLA KEYS
160U,2005,8,17,1,25.3487167,-80.1809499,3.4,9.1,8109020,ISOL_MR,2,12,0,247,ORT CHRY,0,0,1,0,MCPR,FLA KEYS
164U,2005,8,19,2,25.4945,-80.1036499,16.8,15.2,8251601,SPGR_LR,4,12,0,379,PRI AQUI,0,0,1,0,FMLR,FLA KEYS
165U,2005,8,19,1,25.4615,-80.1331166,6.4,9.1,8195332,ISOL_MR,3,12,0,198,EPI ADSC,0,0,1,0,OFPR,FLA KEYS
166U,2005,8,19,1,25.4585,-80.1373499,4.6,4.6,8187830,ISOL_MR,3,12,0,392,SCO CARI,0,0,1,0,OFPR,FLA KEYS
170U,2005,8,22,2,25.5071667,-80.1200999,5.2,9.1,8221607,CONT_LR,4,12,0,201,EPI GUTT,0,0,1,0,FSLR,FLA KEYS
171U,2005,8,22,2,25.5233,-80.1353499,6.1,9.1,8191616,ISOL_MR,2,12,0,99,SYA MICR,0,0,1,0,MCPR,FLA KEYS
172U,2005,8,22,1,25.43485,-80.1357999,4.3,9.1,8191567,ISOL_MR,2,12,0,197,DIP FORM,0,0,1,0,MCPR,FLA KEYS
173U,2005,8,23,2,25.5113167,-80.1162832,7.6,9.1,8229110,ISOL_LR,4,12,0,206,HYP GUTT,0,0,1,0,FMLR,FLA KEYS
174U,2005,8,23,1,25.5169,-80.1116666,7.3,9.1,8236613,CONT_LR,4,12,0,253,EPI ITAJ,0,0,1,0,FMLR,FLA KEYS
175U,2005,8,23,1,25.4766334,-80.1113999,5.5,10.7,8236591,SPGR_LR,4,12,0,162,CHR SCOT,0,0,1,0,FSLR,FLA KEYS
176U,2005,8,23,1,25.44545,-80.1542499,4.3,4.6,8157823,ISOL_MR,2,12,0,214,MYC BONA,0,0,1,0,MCPR,FLA KEYS
277U,2005,6,23,1,24.8879501,-80.56345,7.3,12.2,7388764,CONT_LR,4,10,0,124,THA BIFA,6.5,5.25,1,0,FMLR,FLA KEYS
301U,2005,7,26,1,25.40755,-80.1964999,3.2,6.9,8079052,ISOL_MR,1,12,0,134,MAL PLUM,0,0,1,0,INPR,FLA KEYS
302U,2005,7,26,1,25.4339334,-80.1930332,3.7,6.9,8082817,ISOL_MR,1,12,0,172,GIN CIRR,0,0,1,0,INPR,FLA KEYS
303U,2005,7,26,1,25.4444667,-80.1767832,2.6,8.4,8112823,ISOL_MR,2,12,0,214,MYC BONA,0,0,1,0,MCPR,FLA KEYS
304U,2005,8,16,2,25.3299,-80.2001832,4.3,9.1,8071509,ISOL_MR,2,12,0,162,CHR SCOT,0,0,1,0,MCPR,FLA KEYS
305U,2005,8,16,2,25.34435,-80.1952499,1.5,9.1,8079017,ISOL_MR,2,12,0,707,HOL SPE.,0,0,1,0,MCPR,FLA KEYS
306U,2005,8,16,1,25.3829667,-80.1677332,2.4,4.6,8131539,ISOL_MR,2,12,0,25,TYL CROC,0,0,1,0,MCPR,FLA KEYS
307U,2005,7,6,2,25.4123167,-80.1464832,7,6.1,8172805,ISOL_MR,2,12,0,750,OPI SPE.,0,0,1,0,MCPR,FLA KEYS
308U,2005,7,26,2,25.4544167,-80.1492832,4.9,12.2,8165328,ISOL_MR,2,12,0,168,STE PLAN,0,0,1,0,MCPR,FLA KEYS
309U,2005,7,26,2,25.468,-80.1497832,4.3,12.2,8165336,ISOL_MR,2,12,0,281,NEG BREV,0,0,1,0,MCPR,FLA KEYS
310U,2005,7,26,1,25.4835834,-80.1435499,4.7,10.7,8176594,ISOL_MR,2,12,0,712,DIO SPE.,0,0,1,0,MCPR,FLA KEYS
311U,2005,7,6,1,25.3741334,-80.1414332,7.5,7.6,8180284,RUBB_LR,4,12,0,219,PAR FURC,0,0,1,0,FMLR,FLA KEYS
312U,2005,7,14,1,25.5875167,-80.0981999,4.6,9.6,8259152,RUBB_LR,4,12,0,122,XYR SPLE,5.5,3.25,1,0,FSLR,FLA KEYS
313U,2005,7,6,1,25.3634334,-80.1568499,7.3,9.1,8154028,ISOL_MR,3,12,0,23,MON TUCK,0,0,1,0,OFPR,FLA KEYS
314U,2005,7,26,2,25.4866,-80.1294999,7,15.2,8202846,ISOL_MR,3,12,0,112,DOR MEGA,0,0,1,0,OFPR,FLA KEYS
315U,2005,7,6,2,25.3737167,-80.1391166,6.7,12.2,8187784,SPGR_HR,4,12,0,159,CHR ENCH,0,0,1,0,HRRF,FLA KEYS
316U,2005,7,6,1,25.4225334,-80.1252832,3.8,6.9,8210311,CONT_LR,4,12,0,161,CHR MULT,0,0,1,0,FSLR,FLA KEYS
317U,2005,7,14,2,25.6556,-80.0958332,9,9.9,8262940,CONT_LR,4,12,0,416,SAR AURI,0,0,1,0,FMLR,FLA KEYS
318U,2005,7,14,1,25.6573001,-80.0912832,7.6,7.6,8274191,CONT_LR,4,12,0,157,ABU SAXA,0,0,1,0,FMLR,FLA KEYS
319U,2005,7,6,1,25.3564,-80.1413832,13.9,9.1,8180274,SPGR_LR,4,12,0,173,CRY ROSE,0,0,1,0,FMLR,FLA KEYS
320U,2005,7,19,2,25.2992167,-80.1596832,23.5,12.2,8146492,SPGR_LR,4,12,0,140,GYM VICI,0,0,1,0,FDLR,FLA KEYS
321U,2005,7,14,1,25.6083834,-80.0902999,20.9,9.9,8274164,SPGR_LR,4,12,0,182,SPA AURO,5,0.5,1,0,FDLR,FLA KEYS
322U,2005,7,14,1,25.5959333,-80.1003499,5.6,8.8,8255407,ISOL_LR,4,12,0,232,SPH BARR,0,0,1,0,FSLR,FLA KEYS
323U,2005,7,14,2,25.6090167,-80.1002832,6.6,7.6,8255414,ISOL_LR,4,12,0,50,CHA SEDE,0,0,1,0,FMLR,FLA KEYS
324U,2005,7,12,2,25.4859667,-80.1241499,7,5.2,8214096,ISOL_LR,4,12,0,413,ACA SPIN,0,0,1,0,FMLR,FLA KEYS
325U,2005,9,14,1,25.2133167,-80.3255333,2,7.6,7835194,ISOL_MR,1,11,0,424,ENN ALTI,0,0,1,0,INPR,FLA KEYS
326U,2005,8,17,1,25.3298333,-80.2337166,2.4,5.3,8007759,ISOL_MR,1,12,0,164,STE DIEN,0,0,1,0,INPR,FLA KEYS
328U,2005,9,29,1,25.0794667,-80.3777833,2.2,3.1,7737620,ISOL_MR,2,11,0,179,SCA TAEN,0,0,1,0,MCPR,FLA KEYS
329U,2005,9,28,1,25.1344667,-80.3297999,2.8,5.3,7827651,ISOL_MR,2,11,0,178,SCA GUAC,0,0,1,0,MCPR,FLA KEYS
331U,2005,9,16,1,25.1964833,-80.2640166,2.9,5.3,7951435,ISOL_MR,2,11,0,110,BOD RUFU,0,0,1,0,MCPR,FLA KEYS
332U,2005,9,13,2,25.22655,-80.2726166,2.7,5.2,7936452,ISOL_MR,2,11,0,227,CAL CALA,0,0,1,0,MCPR,FLA KEYS
333U,2005,9,13,1,25.2398833,-80.2683332,2.1,6.9,7943959,ISOL_MR,2,11,0,444,AHL EGMO,0,0,1,0,MCPR,FLA KEYS
334U,2005,9,13,1,25.2793333,-80.2398832,3.5,6.9,7996481,ISOL_MR,2,11,0,30,SCA CRIS,0,0,1,0,MCPR,FLA KEYS
335U,2005,9,13,1,25.2851334,-80.2337999,1.8,8.4,8007734,ISOL_MR,2,11,0,115,HAL MACU,0,0,1,0,MCPR,FLA KEYS
336U,2005,9,13,1,25.2969,-80.2245499,2.6,6.9,8026491,ISOL_MR,2,11,0,245,NES LONG,0,0,1,0,MCPR,FLA KEYS
337U,2005,8,16,1,25.2992833,-80.2280999,2.8,4.6,8018992,ISOL_MR,2,11,0,179,SCA TAEN,0,0,1,0,MCPR,FLA KEYS
338U,2005,8,16,1,25.3137834,-80.2221666,5.1,4.6,8030250,ISOL_MR,2,12,0,245,NES LONG,0,0,1,0,MCPR,FLA KEYS
339U,2005,8,3,2,25.04785,-80.3430999,3.2,13.7,7805103,RUBB_LR,4,11,0,229,CAL PROR,0,0,1,0,FSLR,FLA KEYS
341U,2005,8,4,1,24.9821667,-80.4442999,6.9,11.4,7613816,ISOL_MR,3,11,0,231,DIP HOLB,0,0,1,0,OFPR,FLA KEYS
342U,2005,8,4,1,24.9938834,-80.4485166,3.7,8.4,7606322,ISOL_MR,3,11,0,281,NEG BREV,0,0,1,0,OFPR,FLA KEYS
343U,2005,8,2,1,25.03225,-80.3876833,2.1,12.2,7718844,ISOL_MR,3,11,0,180,SCA VETU,0,0,1,0,OFPR,FLA KEYS
344U,2005,8,3,2,25.0346333,-80.3633999,8.1,19.8,7767595,ISOL_MR,3,11,0,48,CHA CAPI,8,1,1,0,OFPR,FLA KEYS
347U,2005,9,27,1,25.12575,-80.2938499,9.8,7.6,7895146,ISOL_MR,3,11,0,149,LAC TRIQ,0,0,1,0,OFPR,FLA KEYS
348U,2005,9,28,1,25.14205,-80.2830499,7.3,10.7,7917655,ISOL_MR,3,11,0,316,EPI FLAV,0,0,1,0,OFPR,FLA KEYS
349U,2005,7,13,1,25.2442333,-80.2143999,4.9,6.1,8045212,ISOL_MR,3,11,0,48,CHA CAPI,0,0,1,0,OFPR,FLA KEYS
350U,2005,8,16,1,25.2947333,-80.1988999,8.9,9.1,8075240,ISOL_MR,3,11,0,129,LUT GRIS,21,1.5,1,0,OFPR,FLA KEYS
351U,2005,7,19,1,25.3067667,-80.2017166,4.3,6.1,8067746,ISOL_MR,3,12,0,39,CAR RUBE,0,0,1,0,OFPR,FLA KEYS
352U,2005,8,4,1,24.9828501,-80.4190499,8.5,19.8,7662566,SPGR_HR,4,11,0,121,SER RIVO,0,0,1,0,HRRF,FLA KEYS
353U,2005,8,4,2,24.9847167,-80.4159666,8.1,22.9,7666317,SPGR_HR,4,11,0,12,HYP HARR,0,0,1,0,HRRF,FLA KEYS
354U,2005,8,4,1,24.9904334,-80.4128332,3.5,21.3,7673821,SPGR_HR,4,11,0,181,SPA ATOM,4,4,1,0,HRRF,FLA KEYS
355U,2005,8,4,2,24.9907667,-80.4107999,6.9,21.3,7677571,SPGR_HR,4,11,0,246,PRI HIPO,0,0,1,0,HRRF,FLA KEYS
356U,2005,8,2,1,25.0185,-80.3672499,6.3,21.3,7760086,SPGR_HR,4,11,0,120,XYR NOVA,0,0,1,0,HRRF,FLA KEYS
357U,2005,8,3,2,25.03895,-80.3451666,9.1,15.2,7801348,SPGR_HR,4,11,0,152,HOL BERM,35,0.5,1,0,HRRF,FLA KEYS
358U,2005,9,15,1,25.1963667,-80.2281832,5.3,14.5,8018935,SPGR_LR,4,11,0,382,ANC LYOL,0,0,1,0,FSLR,FLA KEYS
359U,2005,9,14,1,25.19745,-80.2259499,6,10.7,8022686,SPGR_HR,4,11,0,209,HYP NIGR,0,0,1,0,HRRF,FLA KEYS
360U,2005,9,28,1,25.1026167,-80.3256999,3.8,9.1,7835133,CONT_LR,4,11,0,314,SPH TIBU,0,0,1,0,FSLR,FLA KEYS
361U,2005,9,15,2,25.18705,-80.2640166,2,6.9,7951430,CONT_LR,4,11,0,382,ANC LYOL,0,0,1,0,FSLR,FLA KEYS
362U,2005,9,15,2,25.1874667,-80.2544999,3,12.2,7970180,CONT_LR,4,11,0,95,HAE MELA,0,0,1,0,FSLR,FLA KEYS
363U,2005,9,15,2,25.1889833,-80.2390832,4.9,12.2,8000181,CONT_LR,4,11,0,115,HAL MACU,8,0.5,1,0,FSLR,FLA KEYS
364U,2005,9,14,1,25.2290833,-80.2245832,2.9,13.7,8026453,CONT_LR,4,11,0,734,ACA SPE.,4,0.5,2,0,FSLR,FLA KEYS
365U,2005,7,13,1,25.2357833,-80.2177499,3,6.1,8037707,ISOL_MR,3,11,0,124,THA BIFA,7,1,1,0,OFPR,FLA KEYS
366U,2005,7,13,2,25.2484334,-80.2191166,3.6,4.6,8037714,CONT_LR,4,11,0,119,XYR MART,0,0,1,0,FSLR,FLA KEYS
367U,2005,7,13,2,25.2497167,-80.2186666,3.5,6.1,8037715,CONT_LR,4,11,0,48,CHA CAPI,0,0,1,0,FSLR,FLA KEYS
368U,2005,8,3,2,25.0311833,-80.3580166,11,10.7,7775093,CONT_LR,4,11,0,7,ACA BAHI,20,0.5,1,0,FMLR,FLA KEYS
369U,2005,9,29,2,25.0750667,-80.3179166,7.2,15.2,7850118,CONT_LR,4,11,0,240,DIO HOLO,0,0,1,0,FMLR,FLA KEYS
370U,2005,9,29,1,25.0828667,-80.3197332,6.8,12.2,7850122,CONT_LR,4,11,0,83,PTE HELE,0,0,1,0,FMLR,FLA KEYS
371U,2005,9,29,2,25.1075,-80.2931333,9.3,16.8,7898886,CONT_LR,4,11,0,26,APO MACU,0,0,1,0,FMLR,FLA KEYS
372U,2005,9,28,1,25.11115,-80.2864833,6.3,13.7,7910138,CONT_LR,4,11,0,119,XYR MART,0,0,1,0,FMLR,FLA KEYS
373U,2005,9,15,1,25.1758833,-80.2552499,6.9,13,7970174,CONT_LR,4,11,0,144,OPI WHIT,0,0,1,0,FMLR,FLA KEYS
374U,2005,7,13,2,25.2427833,-80.2090666,7.6,5.3,8056461,CONT_LR,4,11,0,410,SCH BETA,0,0,1,0,FMLR,FLA KEYS
375U,2005,7,19,1,25.2825,-80.1860832,9.5,12.2,8097733,CONT_LR,4,11,0,124,THA BIFA,1,0.5,1,0,FMLR,FLA KEYS
378U,2005,9,15,2,25.1613833,-80.2397166,18.1,12.2,8000166,CONT_LR,4,11,0,219,PAR FURC,0,0,1,0,FDLR,FLA KEYS
379U,2005,7,13,1,25.2374,-80.2026499,8.7,5.3,8067708,SPGR_LR,4,11,0,45,TRA FALC,0,0,1,0,FMLR,FLA KEYS
380U,2005,7,13,2,25.2536667,-80.1908999,13.4,4.6,8090217,SPGR_LR,4,11,0,436,BOL BOQU,0,0,1,0,FMLR,FLA KEYS
381H,2005,8,4,2,24.9659501,-80.4399999,21.2,12.2,7621307,SPGR_HR,4,11,0,177,SCA ISER,10,6.25,1,0,HRRF,FLA KEYS
381U,2005,8,4,1,24.9657667,-80.4409666,22.4,11.4,7621307,SPGR_LR,4,11,0,435,ENC NIGR,0,0,1,0,FDLR,FLA KEYS
382U,2005,8,4,2,24.98005,-80.4148999,22.7,19.8,7670065,SPGR_LR,4,11,0,435,ENC NIGR,0,0,1,0,FDLR,FLA KEYS
383U,2005,9,27,1,25.1167167,-80.2775999,17.2,13,7928891,SPGR_LR,4,11,0,53,ACA ASPE,0,0,1,0,FMLR,FLA KEYS
384U,2005,9,28,2,25.13835,-80.2569166,19.8,18.3,7966403,SPGR_LR,4,11,0,380,ENN BOEH,0,0,1,0,FDLR,FLA KEYS
386U,2005,7,13,1,25.2803167,-80.1710332,22.6,7.6,8127732,SPGR_LR,4,11,0,173,CRY ROSE,0,0,1,0,FDLR,FLA KEYS
387U,2005,8,4,2,24.9772001,-80.4393332,7.5,16.8,7621313,ISOL_LR,4,11,0,176,SCA COER,0,0,1,0,FMLR,FLA KEYS
388U,2005,9,29,1,25.0848333,-80.3166333,7.5,13.7,7853873,ISOL_LR,4,11,0,312,CAL NODO,0,0,1,0,FMLR,FLA KEYS
389U,2005,9,15,2,25.16435,-80.2508333,20.3,12.2,7977667,ISOL_LR,4,11,0,424,ENN ALTI,0,0,1,0,FMLR,FLA KEYS
390U,2005,9,28,1,25.1396833,-80.2942999,4.1,11.4,7895154,SPGR_HR,3,11,0,129,LUT GRIS,13,0.5,2,0,HRRF,FLA KEYS
391U,2005,8,17,2,25.2935,-80.2210999,4,7.6,8033989,SPGR_HR,3,11,0,20,CAN SUFF,0,0,1,0,HRRF,FLA KEYS
392U,2005,9,13,2,25.2943334,-80.2191499,7,7.6,8037739,SPGR_HR,3,11,0,380,ENN BOEH,0,0,1,0,HRRF,FLA KEYS
394U,2005,8,17,1,25.2116667,-80.2180999,4.7,12.2,8037694,SPGR_HR,4,11,1,413,ACA SPIN,0,0,1,1,HRRF,FLA KEYS
395U,2005,8,17,1,25.2195333,-80.2112166,5.8,12.2,8052698,SPGR_HR,4,11,1,190,EQU PUNC,0,0,1,1,HRRF,FLA KEYS
396U,2005,9,16,1,25.1396333,-80.2597499,7.8,25.1,7962654,SPGR_HR,4,11,2,264,SPH TEST,0,0,1,1,HRRF,FLA KEYS
397U,2005,9,16,1,25.1435167,-80.2572833,7,25.1,7966406,SPGR_HR,4,11,2,187,SPA VIRI,23,2,1,1,HRRF,FLA KEYS
398U,2005,8,3,1,25.0330333,-80.3488832,9.6,25.9,7793844,SPGR_HR,4,11,5,30,SCA CRIS,0,0,1,1,HRRF,FLA KEYS
399U,2005,8,3,2,25.0358833,-80.3474832,6.6,25.9,7797596,SPGR_HR,4,11,5,124,THA BIFA,1.5,1.375,1,1,HRRF,FLA KEYS
400U,2005,8,2,2,25.01205,-80.3687332,14.1,18.3,7756333,CONT_LR,4,11,0,154,HOL TRIC,9,0.5,1,0,FMLR,FLA KEYS
401U,2005,8,2,1,25.0150833,-80.3689166,8.5,16.8,7756334,SPGR_HR,4,11,6,98,HAE SCIU,18,5.5,1,1,HRRF,FLA KEYS
402U,2005,9,14,2,25.2086333,-80.2292499,3.7,9.1,8018942,CONT_LR,4,11,0,5,GYM MILI,0,0,1,0,FSLR,FLA KEYS
403U,2005,9,14,2,25.21115,-80.2234666,5.2,9.1,8030193,CONT_LR,4,11,1,131,LUT MAHO,0,0,1,1,FSLR,FLA KEYS
404U,2005,8,2,1,25.0157,-80.3711999,7.8,16.8,7752585,CONT_LR,4,11,6,389,ELA HORS,0,0,1,1,FMLR,FLA KEYS
405U,2005,9,14,2,25.221,-80.2206666,5.2,11.4,8033949,CONT_LR,4,11,1,66,MEG ATLA,0,0,1,1,FSLR,FLA KEYS
407U,2005,8,17,1,25.2209667,-80.2047999,17.1,10.7,8063949,SPGR_LR,4,11,1,416,SAR AURI,0,0,1,1,FMLR,FLA KEYS
408U,2005,8,17,2,25.22965,-80.2022166,10.7,13,8067704,SPGR_LR,4,11,1,94,HAE MACR,0,0,1,1,FMLR,FLA KEYS
409U,2005,8,3,1,25.0348667,-80.3446333,23.9,12.2,7801345,SPGR_LR,4,11,0,32,BOT OCEL,0,0,1,0,FDLR,FLA KEYS
410H,2005,8,3,2,25.0374167,-80.3433832,22.1,17.5,7805097,SPGR_HR,4,11,0,206,HYP GUTT,0,0,1,0,HRRF,FLA KEYS
410U,2005,8,3,1,25.03725,-80.3433332,20.7,9.9,7805097,SPGR_LR,4,11,0,385,APO AURO,0,0,1,0,FDLR,FLA KEYS
411U,2005,8,2,1,25.00475,-80.3765499,23.8,19.1,7741329,SPGR_LR,4,11,0,111,CLE PARR,4,3.125,1,0,FDLR,FLA KEYS
412U,2005,8,2,1,25.0160833,-80.3659499,18,13,7760085,SPGR_LR,4,11,6,66,MEG ATLA,0,0,1,1,FMLR,FLA KEYS
414U,2005,9,16,1,25.1479167,-80.2630666,11.1,23.6,7955158,ISOL_LR,4,11,0,316,EPI FLAV,0,0,1,0,FMLR,FLA KEYS
415U,2005,9,27,2,25.12225,-80.2977999,7,13.7,7887644,SPGR_HR,3,11,3,272,OLI SAUR,0,0,1,1,HRRF,FLA KEYS
416U,2005,9,27,2,25.1238833,-80.2970666,6.7,12.2,7891395,SPGR_HR,3,11,3,157,ABU SAXA,9.5,0.5,1,1,HRRF,FLA KEYS
417U,2005,9,27,1,25.1078333,-80.3070999,6.1,9.9,7872636,SPGR_HR,3,11,4,194,SCO MACU,0,0,1,1,HRRF,FLA KEYS
418U,2005,9,27,1,25.1013667,-80.3042166,4.4,12.2,7876382,CONT_LR,4,11,0,436,BOL BOQU,0,0,1,0,FSLR,FLA KEYS
419U,2005,6,23,1,24.6934334,-81.0198666,4.5,5.3,6522406,ISOL_MR,2,9,0,157,ABU SAXA,0,0,1,0,MCPR,FLA KEYS
420U,2005,6,22,1,24.6997834,-80.9671166,4.6,9.1,6623659,ISOL_MR,2,9,0,242,EMB BAHA,0,0,1,0,MCPR,FLA KEYS
421U,2005,6,29,2,24.8967501,-80.6184166,3.3,5.3,7283768,ISOL_MR,2,10,0,253,EPI ITAJ,0,0,1,0,MCPR,FLA KEYS
422U,2005,6,29,1,24.9695167,-80.5363,4,5.3,7441309,ISOL_MR,2,10,0,346,GYM NIGR,0,0,1,0,MCPR,FLA KEYS
423U,2005,6,23,2,24.63225,-81.0896499,5.5,12.2,6391122,SPGR_HR,4,9,0,92,HAE CHRY,10.5,5.25,1,0,HRRF,FLA KEYS
424U,2005,6,30,2,24.9078667,-80.5292666,6.3,16.8,7452525,RUBB_LR,4,10,0,161,CHR MULT,0,0,1,0,FMLR,FLA KEYS
425U,2005,6,30,2,24.8683,-80.6023333,6.3,13.7,7313753,CONT_LR,4,10,0,92,HAE CHRY,0,0,1,0,FSLR,FLA KEYS
426U,2005,6,22,1,24.6072334,-81.1779166,11.6,7.6,6222358,SPGR_LR,4,9,0,5,GYM MILI,0,0,1,0,FMLR,FLA KEYS
427U,2005,6,22,1,24.6631334,-80.9877166,10,8.4,6586139,SPGR_LR,4,9,0,211,HYP TANN,0,0,1,0,FMLR,FLA KEYS
428U,2005,6,30,1,24.9165834,-80.5120499,7.3,12.2,7486279,ISOL_LR,4,10,0,128,LUT CYAN,0,0,1,0,FMLR,FLA KEYS
429U,2005,6,23,2,24.6980501,-80.9071333,8.5,15.2,6736158,ISOL_LR,4,9,0,128,LUT CYAN,0,0,1,0,FMLR,FLA KEYS
430H,2005,6,29,2,24.85945,-80.5968333,11.6,11.4,7324998,SPGR_LR,4,10,0,114,HAL GARN,5,0.5,1,0,FMLR,FLA KEYS
430U,2005,6,29,1,24.8588833,-80.5972166,11,16.8,7324997,ISOL_LR,4,10,0,245,NES LONG,0,0,1,0,FMLR,FLA KEYS
431U,2005,6,30,1,24.8822334,-80.5741333,6.7,13.7,7370010,ISOL_LR,4,10,0,133,OCY CHRY,25,7,1,0,FMLR,FLA KEYS
432U,2005,6,24,1,24.7691334,-80.7259999,20.5,15.2,7081198,SPGR_LR,4,9,0,124,THA BIFA,3.5,2.5,1,0,FDLR,FLA KEYS
434U,2005,6,29,2,24.9336834,-80.5510166,5,3,7411289,ISOL_MR,2,10,10,731,SRR SPE.,0,0,1,1,MCPR,FLA KEYS
436U,2005,6,29,1,24.8477167,-80.6246332,3.7,10.7,7272491,RUBB_LR,4,10,12,37,CAR HIPP,0,0,1,1,FSLR,FLA KEYS
437U,2005,6,23,2,24.62875,-81.1140332,6.4,10.7,6346120,RUBB_LR,4,9,0,106,SAR VEXI,0,0,1,0,FSLR,FLA KEYS
438U,2005,6,28,1,24.8500834,-80.6163333,3.8,16.8,7287493,CONT_LR,4,10,12,124,THA BIFA,3,0.5,1,1,FSLR,FLA KEYS
439U,2005,6,28,1,24.8456667,-80.6241832,7.5,16.8,7272490,SPGR_HR,4,10,12,158,CHR CYAN,0,0,1,1,HRRF,FLA KEYS
440U,2005,6,22,1,24.6831667,-80.9732333,4.7,7.6,6612400,CONT_LR,4,9,14,225,ARC RHOM,0,0,1,1,FSLR,FLA KEYS
441U,2005,6,22,1,24.6854167,-80.96365,5.5,7.6,6631151,CONT_LR,4,9,14,169,STE VARI,3,1.5,1,1,FSLR,FLA KEYS
442U,2005,6,30,1,24.92285,-80.5050999,6.7,12.2,7497533,SPGR_HR,4,10,9,260,PAG PAGR,0,0,1,1,HRRF,FLA KEYS
443U,2005,6,30,1,24.9258834,-80.5019499,4.6,13.7,7505035,CONT_LR,4,10,0,225,ARC RHOM,0,0,1,0,FSLR,FLA KEYS
444U,2005,8,5,1,24.9550667,-80.4577832,6.3,13.7,7587551,SPGR_LR,4,10,7,258,DIP ARGE,0,0,1,1,FMLR,FLA KEYS
445U,2005,8,5,2,24.9564167,-80.4558332,9.5,9.1,7591302,SPGR_LR,4,10,7,115,HAL MACU,6,4,1,1,FMLR,FLA KEYS
446U,2005,8,5,1,24.94935,-80.4536999,17.5,15.2,7595048,SPGR_LR,4,10,8,194,SCO MACU,0,0,1,1,FMLR,FLA KEYS
447U,2005,8,5,2,24.9509167,-80.4544833,14,22.9,7595049,SPGR_LR,4,10,8,179,SCA TAEN,20,1,1,1,FMLR,FLA KEYS
448U,2005,6,24,2,24.7642167,-80.7559166,8.5,15.2,7024945,SPGR_LR,4,9,13,341,CTE SAEP,0,0,1,1,FMLR,FLA KEYS
449U,2005,6,24,2,24.76755,-80.7500499,8.2,15.2,7036197,SPGR_LR,4,9,13,382,ANC LYOL,0,0,1,1,FMLR,FLA KEYS
450U,2005,6,23,2,24.6254333,-81.1114166,7.3,12.2,6349868,SPGR_HR,4,9,15,87,ANI SURI,0,0,1,1,HRRF,FLA KEYS
451U,2005,6,23,1,24.6230667,-81.1104666,14.6,13.7,6353617,SPGR_LR,4,9,15,29,OPH MACC,0,0,1,1,FMLR,FLA KEYS
452U,2005,8,5,2,24.9530334,-80.4504499,18.3,22.9,7602550,SPGR_LR,4,10,8,29,OPH MACC,0,0,1,1,FMLR,FLA KEYS
453U,2005,6,28,2,24.84265,-80.6185833,24.1,15.2,7283738,SPGR_LR,4,10,0,211,HYP TANN,0,0,1,0,FDLR,FLA KEYS
455U,2005,6,24,2,24.7658834,-80.7496166,10.4,15.2,7036196,ISOL_LR,4,9,13,425,LAB KALI,0,0,1,1,FMLR,FLA KEYS
456U,2005,6,7,1,24.5154667,-81.9393833,3.7,3.4,4778559,ISOL_MR,1,8,0,335,EUC GULA,0,0,1,0,INPR,FLA KEYS
